atmospheric_CO2,CO2_emissions
999,0.1174
999,0.1174
999,0.1174
999,0.1174
999,0.1174
999,0.1174
999,0.1174
999,0.1174
999,0.1174
999,0.1174
999,0.1174
999,0.1174
999,0.0976
999,0.0976
999,0.0976
999,0.0976
999,0.0976
999,0.0976
999,0.0976
999,0.0976
999,0.0976
999,0.0976
999,0.0976
999,0.0976
999,0.1048
999,0.1048
999,0.1048
999,0.1048
999,0.1048
999,0.1048
999,0.1048
999,0.1048
999,0.1048
999,0.1048
999,0.1048
999,0.1048
999,0.1175
999,0.1175
999,0.1175
999,0.1175
999,0.1175
999,0.1175
999,0.1175
999,0.1175
999,0.1175
999,0.1175
999,0.1175
999,0.1175
999,0.1239
999,0.1239
999,0.1239
999,0.1239
999,0.1239
999,0.1239
999,0.1239
999,0.1239
999,0.1239
999,0.1239
999,0.1239
999,0.1239
999,0.1184
999,0.1184
999,0.1184
999,0.1184
999,0.1184
999,0.1184
999,0.1184
999,0.1184
999,0.1184
999,0.1184
999,0.1184
999,0.1184
999,0.1349
999,0.1349
999,0.1349
999,0.1349
999,0.1349
999,0.1349
999,0.1349
999,0.1349
999,0.1349
999,0.1349
999,0.1349
999,0.1349
999,0.1451
999,0.1451
999,0.1451
999,0.1451
999,0.1451
999,0.1451
999,0.1451
999,0.1451
999,0.1451
999,0.1451
999,0.1451
999,0.1451
999,0.1471
999,0.1471
999,0.1471
999,0.1471
999,0.1471
999,0.1471
999,0.1471
999,0.1471
999,0.1471
999,0.1471
999,0.1471
999,0.1471
999,0.1513
999,0.1513
999,0.1513
999,0.1513
999,0.1513
999,0.1513
999,0.1513
999,0.1513
999,0.1513
999,0.1513
999,0.1513
999,0.1513
999,0.1544
999,0.1544
999,0.1544
999,0.1544
999,0.1544
999,0.1544
999,0.1544
999,0.1544
999,0.1544
999,0.1544
999,0.1544
999,0.1544
999,0.1693
999,0.1693
999,0.1693
999,0.1693
999,0.1693
999,0.1693
999,0.1693
999,0.1693
999,0.1693
999,0.1693
999,0.1693
999,0.1693
999,0.1803
999,0.1803
999,0.1803
999,0.1803
999,0.1803
999,0.1803
999,0.1803
999,0.1803
999,0.1803
999,0.1803
999,0.1803
999,0.1803
999,0.1862
999,0.1862
999,0.1862
999,0.1862
999,0.1862
999,0.1862
999,0.1862
999,0.1862
999,0.1862
999,0.1862
999,0.1862
999,0.1862
999,0.1914
999,0.1914
999,0.1914
999,0.1914
999,0.1914
999,0.1914
999,0.1914
999,0.1914
999,0.1914
999,0.1914
999,0.1914
999,0.1914
315.58,0.2014
316.49,0.2014
316.65,0.2014
317.72,0.2014
318.29,0.2014
318.15,0.2014
316.54,0.2014
314.8,0.2014
313.84,0.2014
313.33,0.2014
314.81,0.2014
315.58,0.2014
316.43,0.2135
316.98,0.2135
317.58,0.2135
319.03,0.2135
320.03,0.2135
319.58,0.2135
318.18,0.2135
315.9,0.2135
314.17,0.2135
313.83,0.2135
315,0.2135
316.19,0.2135
316.89,0.2141
317.7,0.2141
318.54,0.2141
319.48,0.2141
320.58,0.2141
319.77,0.2141
318.56,0.2141
316.79,0.2141
314.99,0.2141
315.31,0.2141
316.1,0.2141
317.01,0.2141
317.94,0.2217
318.55,0.2217
319.68,0.2217
320.57,0.2217
321.02,0.2217
320.62,0.2217
319.61,0.2217
317.4,0.2217
316.24,0.2217
315.42,0.2217
316.69,0.2217
317.7,0.2217
318.74,0.2335
319.07,0.2335
319.86,0.2335
321.38,0.2335
322.24,0.2335
321.49,0.2335
319.74,0.2335
317.77,0.2335
316.21,0.2335
315.99,0.2335
317.07,0.2335
318.35,0.2335
319.57,0.2462
320.04,0.2462
320.75,0.2462
321.84,0.2462
322.25,0.2462
321.89,0.2462
320.44,0.2462
318.69,0.2462
316.71,0.2462
316.87,0.2462
317.68,0.2462
318.71,0.2462
319.44,0.2572
320.44,0.2572
320.89,0.2572
322.14,0.2572
322.17,0.2572
321.87,0.2572
321.21,0.2572
318.87,0.2572
317.82,0.2572
317.3,0.2572
318.87,0.2572
319.42,0.2572
320.62,0.2698
321.6,0.2698
322.39,0.2698
323.7,0.2698
324.08,0.2698
323.75,0.2698
322.37,0.2698
320.36,0.2698
318.64,0.2698
318.1,0.2698
319.78,0.2698
321.02,0.2698
322.33,0.2783
322.5,0.2783
323.03,0.2783
324.41,0.2783
325,0.2783
324.09,0.2783
322.54,0.2783
320.92,0.2783
319.25,0.2783
319.39,0.2783
320.73,0.2783
321.96,0.2783
322.57,0.2935
323.15,0.2935
323.89,0.2935
325.02,0.2935
325.57,0.2935
325.36,0.2935
324.14,0.2935
322.11,0.2935
320.33,0.2935
320.25,0.2935
321.32,0.2935
322.89,0.2935
324,0.313
324.41,0.313
325.63,0.313
326.66,0.313
327.38,0.313
326.71,0.313
325.88,0.313
323.66,0.313
322.38,0.313
321.78,0.313
322.85,0.313
324.11,0.313
325.06,0.3389
325.99,0.3389
326.93,0.3389
328.13,0.3389
328.08,0.3389
327.67,0.3389
326.34,0.3389
324.68,0.3389
323.1,0.3389
323.06,0.3389
324.01,0.3389
325.13,0.3389
326.17,0.3526
326.69,0.3526
327.18,0.3526
327.78,0.3526
328.93,0.3526
328.57,0.3526
327.36,0.3526
325.43,0.3526
323.36,0.3526
