temp_Iceland,temp_Azores,temp_St_Helena,temp_Rothera
8.63,19.96,15.32,-7.8
4.32,18.26,14.92,-3.9
5.28,15.66,15.52,-1.7
1.03,14.07,17.92,-0.2
0.57,13.47,19.52,1.7
-3.73,12.37,20.92,0.5
-1.29,13.87,20.92,-2.3
4.97,13.27,20.12,-2.7
6.58,15.77,19.22,-8.39
9.2,17.67,17.32,-19.9
10.84,18.87,16.52,-17.79
11.03,21.07,15.32,-15.6
6.33,20.77,15.12,-6
3.24,18.47,15.12,-10.9
1.96,15.87,16.32,-1.7
-1.49,14.07,17.92,-1.2
-3.75,13.67,19.62,0.7
-5.64,13.77,20.62,-0.5
-2.21,14.67,20.42,-3.8
3.67,13.67,19.62,-6.3
3.12,15.47,17.92,-13.6
9.65,18.27,16.92,-18
10.42,19.67,16.32,-17.7
8.24,20.17,15.52,-19.6
11.33,19.77,15.52,-14.9
5.31,18.87,15.62,-6.2
3.41,15.67,16.92,-0.8
-1.31,13.48,18.92,-1.4
-5.89,12.88,20.12,-1.3
2.09,12.18,21.32,-4.3
3.3,12.28,21.52,-2.5
0.85,13.88,20.52,999
8.29,15.68,18.52,-15.7
9.42,18.48,17.42,-7.9
11.68,19.28,16.12,-23.1
9.76,20.78,15.72,-13.6
9.9,20.28,15.52,-12.3
7.07,17.68,15.52,-4.9
0.26,15.48,16.02,-5.3
-0.97,14.59,17.72,0.3
-0.65,13.49,18.92,999
-2.27,12.19,20.52,999
0.63,12.89,21.12,999
3.78,14.39,19.92,999
8.39,15.69,19.12,999
11.51,17.99,17.22,999
11.19,20.69,16.52,999
9.72,21.59,15.72,999
8.9,20.29,16.02,999
2.46,18.09,15.72,999
2.46,15.99,17.02,999
-0.79,13.29,17.02,999
0.27,14.09,18.52,999
-0.74,14.29,19.82,999
-0.06,13.99,19.92,999
-0.32,16.09,19.32,999
9.07,15.69,18.12,999
8.41,18.29,17.12,999
11.04,19.69,16.12,999
10.63,21.39,15.72,999
8.81,20.09,15.72,999
4.92,18.29,15.52,999
1.09,16.19,16.72,999
