"years","months","temp_Norway","temp_Netherlands","temp_Switzerland","temp_Iceland","temp_Azores","temp_St_Helena","temp_Rothera","atmospheric_CO2","CO2_emissions"
1897,10,NA,9.2,7.13,5.61,NA,15.08,NA,NA,0.0368
1897,11,NA,4.5,3.03,0.71,NA,16.28,NA,NA,0.0368
1897,12,NA,2.71,-0.47,0.71,NA,17.28,NA,NA,0.0368
1898,1,NA,4.31,0.63,0.11,NA,18.48,NA,NA,0.0388
1898,2,NA,3.51,0.83,-3.79,NA,18.98,NA,NA,0.0388
1898,3,NA,3.21,3.33,-1.19,NA,19.08,NA,NA,0.0388
1898,4,NA,8.11,8.53,3.11,NA,18.48,NA,NA,0.0388
1898,5,NA,11.01,11.73,5.21,NA,16.78,NA,NA,0.0388
1898,6,NA,14.51,14.73,10.61,NA,15.48,NA,NA,0.0388
1898,7,NA,14.61,16.43,11.61,NA,14.58,NA,NA,0.0388
1898,8,NA,18.21,18.63,9.91,NA,14.68,NA,NA,0.0388
1898,9,NA,15.11,15.43,8.71,NA,14.68,NA,NA,0.0388
1898,10,NA,10.21,10.43,4.81,NA,14.68,NA,NA,0.0388
1898,11,NA,5.81,5.03,-0.19,NA,16.88,NA,NA,0.0388
1898,12,NA,5.62,0.72,-1.59,NA,17.38,NA,NA,0.0388
1899,1,NA,4.02,1.92,-2.59,NA,18.48,NA,NA,0.0424
1899,2,NA,3.22,3.02,-1.49,NA,19.68,NA,NA,0.0424
1899,3,NA,3.52,4.72,-4.09,NA,19.68,NA,NA,0.0424
1899,4,NA,7.62,7.82,-2.49,NA,18.98,NA,NA,0.0424
1899,5,NA,10.62,11.72,6.21,NA,17.88,NA,NA,0.0424
1899,6,NA,15.42,15.92,11.81,NA,16.68,NA,NA,0.0424
1899,7,NA,17.92,17.72,12.41,NA,15.48,NA,NA,0.0424
1899,8,NA,17.52,19.02,12.61,NA,15.18,NA,NA,0.0424
1899,9,NA,13.92,13.52,6.11,NA,14.88,NA,NA,0.0424
1899,10,NA,8.32,8.92,2.01,NA,15.18,NA,NA,0.0424
1899,11,NA,8.92,3.92,-1.39,NA,15.88,NA,NA,0.0424
1899,12,NA,-0.87,-2.58,-0.49,NA,16.38,NA,NA,0.0424
1900,1,NA,3.03,1.22,0.21,NA,17.68,NA,NA,0.0446
1900,2,NA,2.33,2.92,-3.99,NA,18.88,NA,NA,0.0446
1900,3,NA,2.53,0.52,-1.69,NA,19.28,NA,NA,0.0446
1900,4,NA,7.23,7.32,1.81,NA,18.98,NA,NA,0.0446
1900,5,NA,10.83,11.22,5.41,NA,18.68,NA,NA,0.0446
1900,6,NA,15.93,17.02,11.41,NA,16.98,NA,NA,0.0446
1900,7,NA,18.33,18.82,12.61,NA,15.78,NA,NA,0.0446
1900,8,NA,16.33,16.02,11.81,NA,14.78,NA,NA,0.0446
1900,9,NA,14.13,15.32,8.31,NA,15.38,NA,NA,0.0446
1900,10,NA,10.03,9.12,1.91,NA,15.98,NA,NA,0.0446
1900,11,NA,5.73,4.52,1.21,NA,16.88,NA,NA,0.0446
1900,12,NA,5.14,2.01,-2.7,NA,16.18,NA,NA,0.0446
1901,1,NA,-0.46,-1.76,0.8,NA,19.88,NA,NA,0.0461
1901,2,NA,-1.06,-4.82,-0.6,NA,21.28,NA,NA,0.0461
1901,3,NA,3.34,2.29,-0.4,NA,20.18,NA,NA,0.0461
1901,4,NA,8.94,8.34,0.4,NA,18.68,NA,NA,0.0461
1901,5,NA,12.04,13.12,7.6,NA,18.68,NA,NA,0.0461
1901,6,NA,14.54,16.22,10.2,NA,19.78,NA,NA,0.0461
1901,7,NA,18.54,18.02,13.6,NA,16.48,NA,NA,0.0461
1901,8,NA,16.54,16.29,10.6,NA,15.38,NA,NA,0.0461
1901,9,NA,14.54,13.99,10.8,NA,14.78,NA,NA,0.0461
1901,10,NA,10.14,8.1,1.6,NA,16.18,NA,NA,0.0461
1901,11,NA,5.14,0.92,0.5,NA,16.58,NA,NA,0.0461
1901,12,NA,2.75,0.02,-3,NA,17.08,NA,NA,0.0461
1902,1,NA,4.45,0.36,-5.2,NA,19.38,NA,NA,0.0472
1902,2,NA,-0.55,-0.65,-4.9,NA,20.88,NA,NA,0.0472
1902,3,NA,5.05,4.34,-3.4,NA,20.68,NA,NA,0.0472
1902,4,NA,8.35,10.28,-0.4,NA,19.88,NA,NA,0.0472
1902,5,NA,9.25,7.93,3.9,NA,19.48,NA,NA,0.0472
1902,6,NA,15.65,14.52,9.3,NA,17.18,NA,NA,0.0472
1902,7,NA,15.35,17.73,10.3,NA,15.58,NA,NA,0.0472
1902,8,NA,14.65,16.53,9.4,NA,14.68,NA,NA,0.0472
1902,9,NA,12.95,13.46,8.7,NA,14.98,NA,NA,0.0472
1902,10,NA,8.45,7.86,5.4,NA,16.08,NA,NA,0.0472
1902,11,NA,3.55,1.87,1.7,NA,16.18,NA,NA,0.0472
1902,12,NA,0.66,-1.87,1.1,NA,17.28,NA,NA,0.0472
1903,1,NA,2.76,-1.26,-1.9,NA,19.28,NA,NA,0.0515
1903,2,NA,5.46,1.93,-3.3,NA,19.58,NA,NA,0.0515
1903,3,NA,6.96,5.62,-3.1,NA,19.78,NA,NA,0.0515
1903,4,NA,5.46,4.5,0.2,NA,19.18,NA,NA,0.0515
1903,5,NA,12.66,12.56,NA,NA,18.28,NA,NA,0.0515
1903,6,NA,14.16,14.4,10.6,NA,15.28,NA,NA,0.0515
1903,7,NA,15.46,16.28,10.8,NA,14.78,NA,NA,0.0515
1903,8,NA,15.16,16.91,6.6,NA,14.48,NA,NA,0.0515
1903,9,NA,14.26,14.09,7.9,NA,14.28,NA,NA,0.0515
1903,10,NA,10.96,9.74,1.5,NA,14.18,NA,NA,0.0515
1903,11,NA,5.56,3.44,-0.6,NA,14.48,NA,NA,0.0515
1903,12,NA,0.66,-1.95,0.6,NA,16.28,NA,NA,0.0515
1904,1,NA,0.56,-3.06,-1.3,NA,17.18,NA,NA,0.0521
1904,2,NA,2.86,1.35,-1.9,NA,18.78,NA,NA,0.0521
1904,3,NA,3.56,4.08,-1.3,NA,19.98,NA,NA,0.0521
1904,4,NA,9.56,9.59,1.4,NA,19.28,NA,NA,0.0521
1904,5,NA,11.96,13.71,6.5,NA,17.78,NA,NA,0.0521
1904,6,NA,14.26,16.51,11.3,NA,16.48,NA,NA,0.0521
1904,7,NA,17.86,20.07,12.8,NA,15.48,NA,NA,0.0521
1904,8,NA,15.86,18.52,10.7,NA,14.58,NA,NA,0.0521
1904,9,NA,12.26,12.07,9.9,NA,14.68,NA,NA,0.0521
1904,10,NA,9.06,8.52,2.4,NA,15.38,NA,NA,0.0521
1904,11,NA,5.36,2.22,-1.6,NA,16.18,NA,NA,0.0521
1904,12,NA,3.87,0.4,-2.5,NA,16.78,NA,NA,0.0521
1905,1,NA,1.17,-3.59,-2.8,NA,17.98,NA,NA,0.0555
1905,2,NA,3.47,0.79,-3.69,NA,19.48,NA,NA,0.0555
1905,3,NA,5.87,4.68,1.9,NA,19.68,NA,NA,0.0555
1905,4,NA,6.47,7.96,0.8,NA,20.08,NA,NA,0.0555
1905,5,NA,11.77,11.1,6.5,NA,19.18,NA,NA,0.0555
1905,6,NA,16.77,16.74,12.2,NA,16.88,NA,NA,0.0555
1905,7,NA,17.87,20.43,11.4,NA,16.38,NA,NA,0.0555
1905,8,NA,15.87,17.24,9.6,NA,15.28,NA,NA,0.0555
1905,9,NA,12.77,13.93,7.5,NA,15.58,NA,NA,0.0555
1905,10,NA,6.37,4.02,1.3,NA,16.28,NA,NA,0.0555
1905,11,NA,3.67,2.92,-0.2,NA,17.18,NA,NA,0.0555
1905,12,NA,2.18,-0.73,-0.31,NA,17.48,NA,NA,0.0555
1906,1,NA,3.48,-0.37,-1.01,NA,18.38,NA,NA,0.058
1906,2,NA,2.28,-0.57,-4.01,NA,19.28,NA,NA,0.058
1906,3,NA,3.88,3.2,-1.81,NA,19.38,NA,NA,0.058
1906,4,NA,7.48,7.87,0.49,NA,18.98,NA,NA,0.058
1906,5,NA,12.38,12.78,2.49,NA,17.78,NA,NA,0.058
1906,6,NA,14.18,15.22,11.89,NA,16.68,NA,NA,0.058
1906,7,NA,16.88,17.98,10.49,NA,14.88,NA,NA,0.058
1906,8,NA,16.78,18.05,9.69,NA,14.58,NA,NA,0.058
1906,9,NA,13.28,13.57,8.99,NA,14.48,NA,NA,0.058
1906,10,NA,11.68,11.1,4.09,NA,15.18,NA,NA,0.058
1906,11,NA,7.78,4.59,-0.61,NA,15.48,NA,NA,0.058
1906,12,NA,0.09,-2.59,-3.7,NA,16.58,NA,NA,0.058
1907,1,NA,1.59,-1.96,-0.41,NA,17.08,NA,NA,0.0661
1907,2,NA,0.59,-2.48,-4.21,NA,19.18,NA,NA,0.0661
1907,3,NA,4.59,2.97,-2.11,NA,19.88,NA,NA,0.0661
1907,4,NA,7.49,6.84,2.69,NA,18.68,NA,NA,0.0661
1907,5,NA,12.49,13.04,5.29,NA,17.18,NA,NA,0.0661
1907,6,NA,13.59,15.48,6.99,NA,16.18,NA,NA,0.0661
1907,7,NA,13.79,15.49,9.99,NA,15.28,NA,NA,0.0661
1907,8,NA,15.09,17.78,7.29,NA,15.58,NA,NA,0.0661
1907,9,NA,13.59,14.5,6.39,NA,14.48,NA,NA,0.0661
1907,10,NA,11.19,10.14,1.69,NA,15.08,NA,NA,0.0661
1907,11,NA,5.69,4.14,-0.01,NA,15.38,NA,NA,0.0661
1907,12,NA,3,1.92,1.09,NA,15.88,NA,NA,0.0661
1908,1,NA,-1.3,-4.22,-0.01,NA,16.78,NA,NA,0.0635
1908,2,NA,3.6,0.43,-2.31,NA,18.18,NA,NA,0.0635
1908,3,NA,3.5,2.68,0.49,NA,18.68,NA,NA,0.0635
1908,4,NA,6,5.83,2.99,NA,17.88,NA,NA,0.0635
1908,5,NA,13,14.22,5.89,NA,16.98,NA,NA,0.0635
1908,6,NA,16.2,17.76,10.49,NA,15.58,NA,NA,0.0635
1908,7,NA,16.6,17.27,13.59,NA,14.78,NA,NA,0.0635
1908,8,NA,15.2,15.99,10.99,NA,14.18,NA,NA,0.0635
1908,9,NA,13.5,12.89,8.49,NA,14.58,NA,NA,0.0635
1908,10,NA,9.8,8.7,6.99,NA,14.78,NA,NA,0.0635
1908,11,NA,4.4,1.23,-0.31,NA,14.38,NA,NA,0.0635
1908,12,NA,1.01,-0.98,-0.71,NA,15.88,NA,NA,0.0635
1909,1,NA,0.71,-3.57,-1.91,NA,17.68,NA,NA,0.0661
1909,2,NA,0.51,-2.22,1.79,NA,18.28,NA,NA,0.0661
1909,3,NA,2.91,1.93,-2.21,NA,18.78,NA,NA,0.0661
1909,4,NA,8.51,9.53,3.89,NA,18.68,NA,NA,0.0661
1909,5,NA,11.21,11.81,5.59,NA,17.28,NA,NA,0.0661
1909,6,NA,13.11,14.38,12.99,NA,16.28,NA,NA,0.0661
1909,7,NA,14.71,15.38,10.89,NA,14.98,NA,NA,0.0661
1909,8,NA,16.21,16.72,10.19,NA,13.98,NA,NA,0.0661
1909,9,NA,13.11,13.34,8.79,NA,14.18,NA,NA,0.0661
1909,10,NA,11.01,10.42,0.59,NA,14.68,NA,NA,0.0661
1909,11,NA,4.41,2.05,0.59,NA,15.68,NA,NA,0.0661
